name1,name2,street1,street2,city,state,zip,zip4,county,phone,website,latitude,longitude,hi,res,phdt,op,cbhc,msmh,omh,ores,ph,psy,rtca,rtcc,ipsy,shp,vahc,chld,yad,adlt,snr,tay,se,gl,vet,adm,mf,cj,co,hv,dv,trma,tbi,alz,ped,pefp,ptsd,sed,smi
CSB of Middle Georgia,Quentin Price Crisis Stablization Unit,118 Thomas Lane,Building 9,Dublin,GA,31021,,Laurens,478-275-6811 x1177,http://www.csbmg.com/,32.5303429,-82.9268525,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,1,,1.0,,1.0
Hillside Inc,,690 Courtenay Drive NE,,Atlanta,GA,30306,3421.0,Fulton,404-875-4551,http://www.hside.org,33.7901028,-84.3648764,,1,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,1,,1.0,1.0,
Center for Discovery,,1364 Manget Way,,Atlanta,GA,30338,,DeKalb,866-944-9796,http://centerfordiscovery.com/locations/dunwoody/,33.9413289,-84.3326352,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,1,,1.0,,
Southern Live Oak Wellness,,1535 Mount Vernon Road,,Atlanta,GA,30338,,DeKalb,770-238-2674,http://www.southernliveoakwellness.com,33.9446138,-84.3360869,,1,1.0,1.0,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,1,1.0,1.0,,1.0
Cathedral Home for Children,,4989 North 3rd Street,,Laramie,WY,82072,,Albany,307-745-8997,http://www.cathedralhome.org,41.3534026,-105.5890424,,1,,1.0,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,1,,1.0,1.0,
Rogers Behavioral Health,Oconomowoc,34700 Valley Road,,Oconomowoc,WI,53066,,Waukesha,262-646-4411,http://www.rogersbh.org,43.0843091,-88.4358343,1.0,1,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,,,1,,,,
Safe Harbor,,201 West Laurel Street,,Brainerd,MN,56401,,Crow Wing,218-454-3844,http://www.npmh.org,46.3546889,-94.21153,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1,,1.0,,1.0
Thrive Behavioral Network,Milestones,620 9th Avenue West,,Alexandria,MN,56308,,Douglas,320-763-3466,http://www.thrivebehavioralnetwork.com,45.8822109,-95.3863311,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1,1.0,1.0,,1.0
People Inc,Riverwind Crisis Residence,2708 119th Avenue NW,,Minneapolis,MN,55433,,Anoka,763-862-7944,http://www.peopleincorporated.org,45.1860073,-93.3359212,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1,1.0,1.0,,1.0
Volunteers of America of Minnesota,Childrens Residential Treatment Center,2000 Hopkins Crossroad,,Hopkins,MN,55305,,Hennepin,612-870-4300,http://www.voamnwi.org/crtc,44.9636896,-93.4212358,,1,,,,,,,,,,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,1.0,,,1,,1.0,1.0,
People Inc,Anchor House,1593 Hewitt Avenue,,Saint Paul,MN,55104,,Ramsey,612-529-2040,http://www.peopleincorporated.org,44.9667187,-93.1678717,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1,1.0,1.0,,1.0
People Inc,Maghakian Place,1100 Hancock Street,,Saint Paul,MN,55106,5336.0,Ramsey,651-793-6333,http://www.peopleincorporated.org,44.958817,-93.053071,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1,1.0,1.0,,1.0
People Inc,Diane Ahrens Crisis Residence,1784 Lacrosse Avenue,,Saint Paul,MN,55119,4808.0,Ramsey,651-645-9424,http://www.peopleincorporated.org,44.9710395,-93.0249645,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1,1.0,1.0,,1.0
Key Point Health Services Inc,,1012 North Point Road,,Baltimore,MD,21224,,Baltimore City,443-216-4800,http://www.keypoint.org,39.2888523,-76.5088079,,1,,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1,,1.0,1.0,1.0
Citywide Health Corporation,Citywide Behavioral Health ,17 Warren Road ,Suite 20-B ,Pikesville,MD,21208,,Baltimore,410-929-2314,http://www.citywidebh.com,39.3684731,-76.7146696,,1,,1.0,,,1.0,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,1.0
Sheppard Pratt Health System,Sheppard Pratt School and RTC,6501 North Charles Street,,Towson,MD,21204,,Baltimore,410-938-3000,http://www.Sheppardpratt.org,39.4025,-76.6344,,1,,,,,,,,,,1.0,,,,1.0,1.0,,,,,1.0,,,,1.0,1.0,1.0,,1.0,,,1,,1.0,1.0,
Key Point Health Services Inc,Administration and Outpatient Clinic,135 North Parke Street,,Aberdeen,MD,21001,2428.0,Harford,443-625-1600,http://www.KeyPoint.org,39.513193,-76.1628,,1,,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1,,1.0,1.0,1.0
Cedar Ridge Ministries,Childrens Home,12146 Cedar Ridge Road,,Williamsport,MD,21795,,Washington,301-582-0282 x123,http://cedarridgeministries.org,39.6482628,-77.856098,,1,,,,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,1.0,1.0,,1,,1.0,1.0,1.0
Bethlem Hospital,,801 Ostrum Street,,Bethlehem,PA,18015,,Bucks,215-538-4500 x4747,http://www.slhn.org,40.6090639,-75.3930609,1.0,1,,,,,,,,,,,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,1,,1.0,,1.0
Central Texas VA Healthcare Services,,1901 Veterans Memorial Drive,,Temple,TX,76504,,Bell,254-743-1271,http://CTVHCS.gov,31.076454,-97.347436,,1,,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,1,1.0,1.0,,
Central Texas VA Healthcare System,Waco VA Medical Center,4800 Memorial Drive,,Waco,TX,76711,,McLennan,254-752-6581,http://www.centraltexas.va.gov,31.5129761,-97.1639125,1.0,1,,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,1.0
Sage Recovery and Wellness Village,,7201 Gilbert Road,,Manor,TX,78653,,Travis,512-306-1394,http://,30.2767472,-97.577331,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,1.0,,,1,1.0,1.0,1.0,1.0
Center for Discovery,Dallas,5124 Corinthian Bay Drive,,Plano,TX,75093,4001.0,Collin,866-862-3631,http://centerfordiscovery.com/locations/plano/,33.0376292,-96.8005843,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,1,,1.0,,
Center for Discovery,Houston,17515 Swansbury Drive  ,,Cypress,TX,77429,3407.0,Harris,866-824-0109,http://centerfordiscovery.com/locations/houston-outpatient/,29.9754861,-95.694595,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,1,,1.0,,
Unity Childrens Home,,2111 River Valley Drive,,Spring,TX,77373,,Harris,281-355-0905,http://www.unitychildrenshome.com,30.0577736,-95.3951413,,1,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,1,,,1.0,
Corpus Christi Medical Center,Bayview Behavioral Hospital,6629 Wooldridge Road,,Corpus Christi,TX,78414,,Nueces,361-986-8200 x8204,http://www.ccmedicalcenter.com,27.6799384,-97.3602123,1.0,1,1.0,1.0,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1,1.0,1.0,1.0,1.0
Markus Mittemayr,,4123 37th Street North,,Saint Petersburg,FL,33714,,Pinellas,727-522-4717,http://www.boleycenters.org,27.8094248,-82.6829813,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,1,,1.0,,1.0
Boley Morningside Safe Haven,,9220 102nd Avenue North,,Seminole,FL,33777,,Pinellas,727-821-4819,http://www.boleycenters.org,27.8651712,-82.7663672,,1,,,,,,,,,1.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,1,1.0,1.0,,1.0
David Lawrence Center,Outpatient/Residential and Detox,6075 Bathey Lane,,Naples,FL,34116,,Collier,239-455-8500,http://davidlawrencecenter.org,26.1758257,-81.7282945,,1,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,1.0,,,1,,1.0,1.0,1.0
Family Center for Recovery,,7051 Seacrest Boulevard,,Lake Worth,FL,33462,,Palm Beach,561-296-5288,http://www.fcfrmd.com,26.5709319,-80.0680089,,1,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1,1.0,1.0,1.0,1.0
Guest House Ocala,,3230 NE 55th Avenue,,Silver Springs,FL,34488,,Marion,855-483-7800,http://www.theguesthouseocala.com,29.2202852,-82.0601221,,1,1.0,1.0,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,1,,1.0,,
Dignity Healing,Crystal Lake Healing,1000 East Hillsboro Boulevard,Suite 103,Deerfield Beach,FL,33441,,Broward,754-227-3733,http://www.crystallakehealing.com,26.3168124,-80.0896339,1.0,1,1.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1,,1.0,,1.0
Kinder in the Keys Treatment Center,,6 Ocean View Boulevard,,Key Largo,FL,33037,,Monroe,800-545-4046,http://www.kinderinthekeys.com,25.0416111,-80.4924803,,1,1.0,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,1.0,1.0,,,1,,1.0,,
Canopy Cove Eating Disorder Trt Ctr,Refresh Canopy Cove,13305 Mahan Drive,,Tallahassee,FL,32309,,Leon,850-893-8800,http://www.canopycove.com,30.5180759,-84.0520897,,1,1.0,,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1,,,,
Christ Child House,,15751 Joy Road,,Detroit,MI,48228,,Wayne,313-584-6077,http://www.christchildhouse.org,42.3574252,-83.1996041,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,1,,1.0,1.0,
Recovery Ranch,,6107 Pinewood Road,,Nunnelly,TN,37137,,Hickman,931-729-9631,http://www.recoveryranch.com,35.912354,-87.472971,,1,1.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1,,1.0,,1.0
Village Behavioral Health,DBA The Village,2431 Jones Bend Road,,Louisville,TN,37777,,Blount,865-970-1263,http://www.villagebh.com,35.8748273,-84.0256673,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,1.0,,1.0,,,1.0,,,1,,1.0,1.0,
Memphis VAMC,,1030 Jefferson Avenue,,Memphis,TN,38104,,Shelby,901-523-8990,http://www.va.gov,35.1437049,-90.0258794,1.0,1,,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,1,,1.0,,1.0
Methodist Behavioral Hospital,,1601 Murphy Drive,,Maumelle,AR,72113,6187.0,Pulaski,501-803-3388,http://www.methodistfamily.org,34.876795,-92.394417,1.0,1,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,1.0,1.0,,1.0,,,1,1.0,1.0,1.0,
NE Arkansas Community MH Center,DBA Mid South Health Systems,211 Missouri Street,,Helena,AR,72342,,Phillips,870-338-3363,http://www.mshs.org,34.5222647,-90.5877867,,1,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,1,1.0,1.0,1.0,1.0
Foundation for Living,,1451 Lucas Road,,Mansfield,OH,44903,,Richland,419-589-5511 x212,http://www.foundationsforliving.net,40.7439885,-82.4641059,,1,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,1,,1.0,1.0,
Dayton VA Medical Center,Mental Health,4100 West 3rd Street,,Dayton,OH,45428,,Montgomery,937-268-6511 x2167,https://www.dayton.va.gov/,39.7491418,-84.2534633,1.0,1,,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,1.0
Lindner Center of HOPE,,4075 Old Western Row Road,,Mason,OH,45040,,Warren,513-536-4673,http://lindnercenterofhope.org,39.3310682,-84.2953524,1.0,1,1.0,1.0,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,1.0,,,1,1.0,1.0,,1.0
Hotel California By The Sea,,7172 Pfeiffer Road,,Cincinnati,OH,45242,,Hamilton,888-733-7755,http://www.HotelCaliforniaByTheSea.com,39.2491482,-84.3610285,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,1,,1.0,,
Veterans Affairs Medical Center,Substance Use Disorders Program,4101 Woolworth Avenue,,Omaha,NE,68105,,Douglas,402-346-8800 x4063,http://www.va.gov,41.2432389,-95.9746129,1.0,1,,1.0,,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1,1.0,1.0,,1.0
Braided Circle,,1500 Colburn Road,,Billings,MT,59102,,Yellowstone,406-869-0787,http://www.newdayranch.com,45.7752,-108.58,,1,1.0,1.0,,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,1,,1.0,,
Safe Haven Home,Women and Children,2115 Canyon Drive,,Billings,MT,59101,,Yellowstone,406-869-0808,http://www.newdayranch.com,45.6311,-108.3519,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,1,,1.0,,
Columbus Behavioral Center for,Children and Adolescents,2223 Poshard Drive,,Columbus,IN,47203,,Bartholomew,812-376-1711,http://www.columbusbehavioral.com/,39.2479359,-85.8998629,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,,,1.0,,,1,,1.0,,
Midwest Ctr for Youth and Families,,1012 West Indiana Street,,Kouts,IN,46347,,Porter,219-766-2999,http://www.midwest-center.com/,41.3191636,-87.0392375,,1,,,,,,,,,,1.0,,,,1.0,1.0,,,,,1.0,,,1.0,,1.0,,,1.0,,,1,,1.0,1.0,
Midwest Ctr for Youth and Families,South Shore Academy,2301 Cumberland Drive,,Valparaiso,IN,46383,,Porter,888-629-3471 x101,http://www.midwest-center.com,41.4897842,-87.0519714,,1,,,,,,,,,,1.0,,,,1.0,1.0,,,,,1.0,,,1.0,,1.0,,,1.0,,,1,,1.0,1.0,
Family Residence and Essential Ent Inc,Terrys Place PROS,191 Bethpage Sweet Hollow Road,,Old Bethpage,NY,11804,,Nassau,516-870-1600 x1654,http://www.familyres.org/,40.7598607,-73.4422374,,1,,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,,1,,1.0,,1.0
VA Hudson Valley Healthcare System,FDR,2094 Albany Post Road,Route 9-A,Montrose,NY,10548,,Westchester,914-737-4400,http://www.hudsonvalley.va.gov,41.244296,-73.9259944,1.0,1,,1.0,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1,,1.0,,1.0
Villa of Hope,Tuckahoe Road Community Residence,6313 Tuckahoe Road,,Williamson,NY,14589,,Wayne,585-865-1550,http://villaofhope.org,43.22829,-77.203071,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,1.0,1.0,1.0,,1.0,,,1,,1.0,1.0,
Villa of Hope,RTF,3300 Dewey Avenue,,Rochester,NY,14616,,Monroe,585-865-1550,http://www.villaofhope.org,43.2296175,-77.6451334,,1,,1.0,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,1.0,1.0,1.0,,1.0,,,1,,1.0,1.0,
Burlington United Methodist,Fam Servs/Beckley Center,4700 Robert C Byrd Drive,,Beckley,WV,25801,8120.0,Raleigh,304-252-8508,http://www.bumfs.org,37.824685,-81.19333,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,1.0,,1.0,,,1.0,,,1,,1.0,1.0,
Westbrook Health Services,New Day Crisis Stabilization Unit,2121 Rear 7th Street,,Parkersburg,WV,26101,,Wood,304-485-1721 x158,http://www.westbrookhealth.org,39.2786,-81.5101,,1,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1,1.0,1.0,,1.0
Logan Mingo Area Mental Health Inc,,3 Mile Branch Road,,Logan,WV,25601,,Logan,304-792-7130,http://www.lmamh.org,37.8270912,-81.9448089,1.0,1,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1,1.0,1.0,1.0,1.0
Crittenton Services,Residential Services,2606 National Road,,Wheeling,WV,26003,,Ohio,304-242-7060,http://www.crittentonwv.org,40.0477605,-80.6436494,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,1,,,1.0,
Family Care Ministries Freedom Home,,2860 Pyramus Road,,Chester,WV,26034,,Hancock,304-459-3728,http://www.seeinglivestransformed.com,40.6012613,-80.5324069,,1,,1.0,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,,1,,1.0,1.0,1.0
Alliance Health Center,The Crossings Residential Center,5000 Highway 39 North,,Meridian,MS,39301,,Lauderdale,601-483-6211,http://www.alliancehealthcenter.com,32.409625,-88.677699,1.0,1,1.0,1.0,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0
Canopy Childrens Solutions,CARES Ctr PRTF and School,402 Wesley Avenue,,Jackson,MS,39202,,Hinds,601-352-7784,http://www.mchscares.org,32.3225587,-90.1842503,,1,,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1,,1.0,1.0,1.0
Recovery House,,770 Golding Road,,Columbus,MS,39702,,Lowndes,662-329-4333,http://www.recoveryhouse.com,33.4187517,-88.3224428,,1,,1.0,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,1,,1.0,,1.0
Pines and Cady Hill,Recovery Center,1011 Main Street,,Columbus,MS,39701,,Lowndes,662-327-7916,http://www.pachrecovery.org/,33.4964375,-88.4215236,,1,,1.0,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,1,,1.0,,1.0
Angelus House,,158 Flanders Road,,Bethlehem,CT,6751,,Litchfield,203-266-8080,http://Wellspring.org,41.6199611,-73.212898,,1,,,,,,,,,1.0,,,,,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1,,1.0,,1.0
VA Connecticut Healthcare System,Chief MHSL,950 Campbell Avenue,"Building 1, Floor 9, Room 9-115 (116A)",West Haven,CT,6516,,New Haven,203-932-5711 x2463,http://www.CONNECTICUT.VA.GOV,41.2844004,-72.9576103,1.0,1,1.0,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,1.0
Institute for Living,Hartford Hospital,200 Retreat Avenue,,Hartford,CT,6106,,Hartford,860-545-7001,http://www.Harthosp.org/InstituteofLiving,41.7519925,-72.6810735,1.0,1,1.0,1.0,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0
Center for Discovery,Fairfield,4536 Congress Street,,Fairfield,CT,6824,,Fairfield,202-902-9643,http://centerfordiscovery.com/locations/fairfield/,41.1951276,-73.3025878,,1,,,,,,,,,1.0,,,,,,1.0,1.0,,,,1.0,,,,,,,,1.0,,,1,,1.0,,
Laureate Psychiatric Clinic and Hosp,,6655 South Yale Avenue,,Tulsa,OK,74136,3326.0,Tulsa,918-481-4000,http://www.saintfrancis.com/laureate-psychiatric-clinic,36.0663209,-95.9172193,1.0,1,1.0,1.0,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,1.0,1,,,,1.0
Calm Center,,6126 East 32nd Place,,Tulsa,OK,74135,,Tulsa,918-394-2256,http://www.crsok.org,36.115902,-95.90668,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,1.0,1.0,1.0,,1.0,,,1,,1.0,1.0,
White Horse Ranch,,40803 South County Road 213,,Mooreland,OK,73852,,Woodward,580-994-5649,http://www.whitehorseranch.org,36.4392031,-99.2048249,,1,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1,1.0,1.0,1.0,
Dakota Boys and Girls Ranch,,6301 19th Avenue NW,,Minot,ND,58702,,Ward,701-852-3628,http://www.dakotaranch.org,48.254869,-101.38096,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,1.0,1.0,,,1.0,,,1,,1.0,1.0,
Detox Center of Colorado,,288 Clayton Street,Suite 202,Denver,CO,80206,,Denver,303-952-5035,http://www.detoxcentercolorado.com/,39.7207208,-104.9555236,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,1.0
Denver Childrens Home,,1501 Albion Street,,Denver,CO,80220,,Denver,303-399-4890,http://www.denverchildrenshome.org,39.7406494,-104.939407,,1,1.0,1.0,,,,,,,,1.0,,,,1.0,1.0,,,,,1.0,,,1.0,1.0,,,,1.0,1.0,,1,,1.0,1.0,
Milbridge Residence of,Sunrise Opportunities,4 Harbor Lane,,Milbridge,ME,4658,,Washington,207-255-8596,http://sun-rise.tv,44.5357505,-67.880697,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,1,,1.0,,1.0
Shalom House Inc,Park Street,130 Park Street,,Portland,ME,4102,,Cumberland,207-874-1088,http://www.shalomhouseinc.org,43.6598,-70.3075,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,1,1.0,1.0,,1.0
Veritas Collaborative,Child and Adolescent Hospital,4024 Stirrup Creek Drive,,Durham,NC,27703,9464.0,Durham,919-908-9730,http://www.veritascollaborative.com,35.9182248,-78.8409187,1.0,1,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1,,,,
M and S Supervised Living LLC,,7311 Friendship Church Road,Suite A ,Browns Summit,NC,27214,,Guilford,336-740-2475,http://,36.2002358,-79.6428201,,1,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,1.0,,1,,,,1.0
Family Advantage LLC,,289 Wade Road,,Scotland Neck,NC,27874,,Halifax,252-826-0429,http://www.familyadvantage.net,36.1827271,-77.5569489,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,1,,1.0,1.0,
Salisbury VA Medical Center,Substance Abuse Residential Rehab,1601 Brenner Avenue,"Unit 4-4, Building 4",Salisbury,NC,28144,,Rowan,704-638-9000 x15501,http://www.salisbury.va.gov/,35.6819923,-80.4903604,1.0,1,,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,1.0,1.0,,1,,1.0,,1.0
Family Advantage LLC,,3104 Highway 301 North,,Pleasant Hill,NC,27866,,Northampton,252-536-0600,http://www.familyadvantage.net,36.4999088,-77.5424389,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,1,,1.0,1.0,
New Vision Home,,5004 Glenview Court,,Charlotte,NC,28215,,Mecklenburg,704-281-7261,http://www.dreamsandvisions.net,35.2439309,-80.7684859,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,1.0,1.0,,,1.0,,,1,,1.0,1.0,
Alexander Youth Network,PRTF,6220 Thermal Road,Suite C,Charlotte,NC,28211,,Mecklenburg,704-366-8712 x1241,http://www.alexanderyouthnetwork.org,35.1581914,-80.7575986,,1,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,1.0,,1,,1.0,1.0,
